Data,R*
2020-12-27,0.9124387167926101
2020-12-28,0.9169948002952965
2020-12-29,0.9184812944011238
2020-12-30,0.9238856997298439
2020-12-31,0.9475355147951754
2021-01-01,0.988599839867442
2021-01-02,0.9913819442482384
2021-01-03,0.9876843073324694
2021-01-04,0.9893095842307046
2021-01-05,1.0009785037250316
2021-01-06,1.009796877835558
2021-01-07,1.0026121075658743
2021-01-08,0.990169226609316
2021-01-09,0.99056314502137
2021-01-10,1.0082693746174005
2021-01-11,1.0123835560914145
2021-01-12,1.001984097769265
2021-01-13,0.9910662095013836
2021-01-14,0.9780303710433965
2021-01-15,0.9719228729981969
2021-01-16,0.9655965077993669
2021-01-17,0.9397298654328389
2021-01-18,0.9337670148157271
2021-01-19,0.9196932224358607
2021-01-20,0.9025590773333175
2021-01-21,0.8930400106806408
2021-01-22,0.864003408210018
2021-01-23,0.8565421983224726
2021-01-24,0.8677372482892325
2021-01-25,0.8626468129273674
2021-01-26,0.8657240865730544
2021-01-27,0.8828812128611236
2021-01-28,0.891101578511491
2021-01-29,0.9092111692884051
2021-01-30,0.9051318348649551
2021-01-31,0.8776818435908756
2021-02-01,0.8793344280163333
2021-02-02,0.8751228804436065
2021-02-03,0.8780639750689362
2021-02-04,0.8738984598626378
2021-02-05,0.8889654347345926
2021-02-06,0.8950556426327159
2021-02-07,0.9213316515516831
2021-02-08,0.9169891540984446
2021-02-09,0.9281337448739312
2021-02-10,0.9250699965586495
2021-02-11,0.9222204471798894
2021-02-12,0.9166251461011825
2021-02-13,0.9204492405996998
2021-02-14,0.9248599484040975
2021-02-15,0.9323544529837388
2021-02-16,0.9354151986694857
2021-02-17,0.9316023314226705
2021-02-18,0.9331588130322217
2021-02-19,0.9353386842386259
2021-02-20,0.9450650430667571
2021-02-21,0.9548861228942958
2021-02-22,0.9666448457342671
2021-02-23,0.9811227221416683
2021-02-24,1.0018799290217193
2021-02-25,1.038351401017578
2021-02-26,1.0725970816403003
2021-02-27,1.0882992416033077
2021-02-28,1.1061552829042038
2021-03-01,1.1154098491106745
2021-03-02,1.135292499093662
2021-03-03,1.149405506655172
2021-03-04,1.1536782344221626
2021-03-05,1.1548847122642458
2021-03-06,1.1579388111687643
2021-03-07,1.1451944116337218
2021-03-08,1.1383287932566228
2021-03-09,1.1354596420651253
2021-03-10,1.138239928249197
2021-03-11,1.1388458681149523
2021-03-12,1.1408469554554597
2021-03-13,1.1416394197510409
2021-03-14,1.1497333166274522
2021-03-15,1.1484264300534823
2021-03-16,1.1451473477641774
2021-03-17,1.1302613082247517
2021-03-18,1.1235400721272204
2021-03-19,1.1139999613958882
2021-03-20,1.1075899438313426
2021-03-21,1.0942461523029787
2021-03-22,1.0769477650330581
2021-03-23,1.0575424889210407
2021-03-24,1.0521220360535806
2021-03-25,1.0357740982484283
2021-03-26,1.0232871457696555
2021-03-27,1.0143849991607305
2021-03-28,1.0033691446732556
2021-03-29,1.0065208461855575
2021-03-30,1.004831939021256
2021-03-31,0.9994157723789419
2021-04-01,1.0011893380466443
2021-04-02,0.9967834580768701
2021-04-03,0.9837423104899157
2021-04-04,0.9896651755412295
2021-04-05,1.0078979337862015
2021-04-06,0.9816852474567261
2021-04-07,0.9667272223988836
2021-04-08,0.9523940054463864
2021-04-09,0.9287357542201445
2021-04-10,0.9218364162454401
2021-04-11,0.9121588902937828
2021-04-12,0.8887986390816278
2021-04-13,0.9088497085016061
2021-04-14,0.9158167862151664
2021-04-15,0.9123918958264431
2021-04-16,0.9199474472125194
2021-04-17,0.9210710129727077
2021-04-18,0.9163457689702056
2021-04-19,0.9051144104339461
2021-04-20,0.8859551809540991
2021-04-21,0.8748069778980077
2021-04-22,0.8730438663866003
2021-04-23,0.8618223400443894
2021-04-24,0.8529392063677285
2021-04-25,0.8528451837718731
2021-04-26,0.8561254942295908
2021-04-27,0.8698855261682241
2021-04-28,0.8717706475211258
2021-04-29,0.8683510733576774
2021-04-30,0.8790252986752825
2021-05-01,0.8721917837075157
2021-05-02,0.8739109833419086
2021-05-03,0.8746579118832005
2021-05-04,0.8564389312909569
2021-05-05,0.8496481849156772
2021-05-06,0.8470342590947797
2021-05-07,0.8360578226824378
2021-05-08,0.8272235889034805
2021-05-09,0.8028683029655677
2021-05-10,0.7878982969235272
2021-05-11,0.781340189602122
2021-05-12,0.7576729652368324
2021-05-13,0.745543937196127
2021-05-14,0.7362292743202166
2021-05-15,0.7328418661378036
2021-05-16,0.7378371037830218
2021-05-17,0.7484662494791741
2021-05-18,0.7505772384633048
2021-05-19,0.7545614574955527
2021-05-20,0.7443002798610944
2021-05-21,0.7309750749970638
2021-05-22,0.7165921483053845
2021-05-23,0.719228134579271
